Country,Year,GDP (trillions USD),Population (millions),Life Expectancy,Unemployment Rate (%),CO2 Emissions (metric tons per capita),Access to Electricity (%)
Brazil,2010,1.49322,829.02,66.7,3.81,10.79,76.76
Japan,2011,17.5627,897.01,61.4,17.98,15.67,67.86
India,2012,16.42688,669.85,69.1,16.02,2.08,81.08
Mexico,2013,11.89001,113.8,80.1,6.26,19.13,53.46
India,2014,2.67302,29.71,62.7,3.1,15.66,82.17
United Kingdom,2015,10.7118,722.56,74.6,23.24,7.55,64.48
China,2016,6.79148,1492.81,84.6,15.59,10.18,78.46
Indonesia,2017,9.46722,118.24,80.9,10.91,2.87,61.41
United Kingdom,2018,13.51403,1461.58,57.0,3.29,9.29,98.05
India,2019,14.2572,802.05,59.9,18.61,19.1,92.8
Canada,2010,13.8027,909.05,75.4,16.03,4.95,59.87
Argentina,2011,19.33735,1084.14,55.7,19.14,15.86,71.43
India,2012,10.49236,818.78,54.8,2.83,16.49,89.31
Nigeria,2013,6.05229,447.7,82.5,8.56,14.32,98.22
Italy,2014,5.80045,238.74,63.1,6.24,16.54,68.43
Indonesia,2015,10.05887,348.99,62.4,6.82,5.43,99.76
Turkey,2016,6.11037,257.48,84.6,4.08,7.08,65.68
Saudi Arabia,2017,15.038,1285.92,64.8,6.12,14.07,59.02
Nigeria,2018,11.71813,158.31,65.2,18.78,16.61,89.47
Saudi Arabia,2019,12.98829,766.88,84.9,16.91,3.41,66.31
Saudi Arabia,2010,11.64985,1041.99,73.6,3.2,7.29,59.27
Russia,2011,6.11063,932.42,71.6,6.56,0.81,82.59
France,2012,8.35482,227.02,63.5,5.37,13.85,56.94
China,2013,17.73535,578.59,82.6,18.97,10.62,57.82
United States,2014,13.18373,1279.81,64.8,10.97,9.72,90.13
Argentina,2015,1.54994,1304.04,52.4,11.64,17.15,59.42
Germany,2016,7.56344,1344.86,77.0,10.91,13.91,72.79
Italy,2017,18.06421,931.89,61.4,14.99,17.61,58.46
Mexico,2018,18.1203,1013.43,53.0,24.12,7.01,88.9
United Kingdom,2019,7.73171,354.84,68.7,21.3,3.16,58.83
United States,2010,19.63537,705.93,65.5,18.01,16.99,97.58
United Kingdom,2011,13.23526,849.83,59.5,24.24,15.87,68.85
Nigeria,2012,3.29941,313.53,53.0,7.75,8.53,86.8
Brazil,2013,3.32342,1207.24,64.9,8.52,5.42,65.49
Nigeria,2014,4.35994,1428.66,81.0,19.52,16.55,97.79
